EGAZ00001018548_2014_ICGC_131206_EXTERN_0043_AC29RDACXX.nopd.AOCS_149_ICGCDBDE20131122009.rsem.bam.aes	19GB	Aug 10, 2016 11:40:00 PM
EGAZ00001018549_2014_ICGC_IcgcOvarian_AOCS093_1DNA_12Ascites_ICGCDBDE20131003001_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	103GB	Aug 11, 2016 6:33:00 AM
EGAZ00001018550_2014_ICGC_IcgcOvarian_AOCS058_1DNA_1NormalBlood_ICGCDBPC20130205016_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	114GB	Aug 11, 2016 7:06:00 AM
EGAZ00001018551_2014_ICGC_IcgcOvarian_AOCS001_1DNA_1NormalBlood_ICGCDBPC20130205001_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	105GB	Aug 11, 2016 6:17:00 AM
EGAZ00001018552_2014_ICGC_131206_EXTERN_0045_AC2KJBACXX.nopd.AOCS_058_ICGCDBLG2010062235TR.rsem.bam.aes	21GB	Aug 11, 2016 1:33:00 AM
EGAZ00001018553_2014_ICGC_IcgcOvarian_AOCS090_1DNA_7PrimaryTumour_ICGCDBPC20130205055_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	133GB	Aug 11, 2016 8:42:00 AM
EGAZ00001018554_2014_ICGC_IcgcOvarian_AOCS139_1DNA_16TumourMetastasisToDistantLocation_ICGCDBDE20130729002_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	119GB	Aug 11, 2016 9:23:00 AM
EGAZ00001018555_2014_ICGC_IcgcOvarian_AOCS109_1DNA_1NormalBlood_ICGCDBPC20130205085_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	110GB	Aug 11, 2016 8:56:00 AM
EGAZ00001018556_2014_ICGC_140227_EXTERN_0128_AC2V5YACXX.nopd.AOCS_165_EXTERNAOCS20140227007.rsem.bam.aes	19GB	Aug 11, 2016 12:47:00 AM
EGAZ00001018557_2014_ICGC_IcgcOvarian_AOCS149_1DNA_1NormalBlood_ICGCDBPC20130205169_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	114GB	Aug 11, 2016 9:25:00 AM
