"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Cisplatin","Signature 1","Signature 2","Signature 3","Signature 4","Signature 5","Signature 6","Signature 7","Signature 8","Signature 9","Signature 10","Signature 11","Signature 12","Signature 13","Signature 14","Signature 15","Signature 16","Signature 18","Signature 19","Signature 20","Signature 21","Signature 23","Signature 24","Signature 25","Signature 26","Signature 29","Signature 30","Sample"
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220922690520315,NA,0.511777294856196,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0.0620945874868201,0,0,0,0,"AOCS-137-13/SP101871 new "
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228397319690573,0,0.381853394068847,0.102654200789141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-093-13/SP101638 new "
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228837797270317,0,0.231506179878268,0,0,0.14916641595778,0,0,0,NA,0,0,NA,0,0.153838562927536,0,0,0,0,0,0,0,0.136401065835133,0,0,0,"PT189-primary_uterus primary "
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231701853329109,NA,0.112243856257582,0.205124278797968,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.168761042389813,0,0,0,0,0,"AOCS-092-13/SP101630 new "
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260019477335878,NA,0.256919879988425,0,0,0.122279391073162,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157862073984477,0,0.1071900740433,0,0,"TCGA-0791-02A new "
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268014204630323,0,0.380697199670919,0.0989786186522952,0,0,0,0.10098059781222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-088-13/SP101612 new "
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288236169907664,0,0.249814073070386,0,0,0.173986021586338,NA,0,0,NA,0,0,NA,0,0.140086922133348,0,0,0,0,0,0,0,0,0,0.0927842047737003,0,"PT189-primary_uterus primary-binder "
"77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291126195592663,NA,0.408086000770373,0,0,0,0,0.188955897795572,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-064-1/SP101552 primary-low-vaf "
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296900009165956,0,0.358497207476993,0,0,0,0,0,0,0,0,0,0.107510647246485,0,0,0,0,0,0,0,0.0934380674615319,0,0,0,0,0,"AOCS-034-13/SP101524 new "
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297643908616084,NA,0,0,0,0.396800157968156,NA,0,0,NA,0,0,NA,0,0.228269484973136,0,0,0,0,0,0,0.0772864484426239,0,0,0,0,"AOCS-139-1/SP101891 primary-binder "
