"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Cisplatin..Gallus.gallus","Cyclophosphamide..Gallus.gallus","Etoposide..Gallus.gallus","Cisplatin..C..Elegans.wildtype","Cisplatin..C..Elegans.fan.1","Cisplatin..C..Elegans.fcd.2","Cisplatin..C..Elegans.lig.4","Cisplatin..C..Elegans.lig.4..fcd.2","Cisplatin..C..Elegans.mus.81","Cisplatin..C..Elegans.polq.1","Cisplatin..C..Elegans.slx.1","Cisplatin..C..Elegans.xpf.1","Sample"
"90",0,0,0.41017351647166,0,0,0,0,0.199809236122451,0,0,0,0,0,0,0,0.0923835461447438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-148-1/SP101990 all"
"15",0,0,0.425251254663118,0,0,0,0,0.380585166218992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-064-1/SP101552 all"
"96",0,0,0.426402652548364,0,0,0,0,0.209278223603567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-155-13/SP102045 all"
"93",0,0,0.426650922038702,0,0,0,0,0.184246283615744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-150-14/SP102015 all"
"98",0,0,0.427354040411275,0,0,0,0,0.308122798170618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-158-1/SP102064 all"
"69",0,0,0.429348121830476,0,0,0,0,0.192313293450997,0,0,0,0,0.100799164975761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-131-1/SP101815 all"
"109",0,0,0.432883028693459,0,0,0,0,0.172069404151561,0,0,0,0,0,0,0,0.0658459928902756,0,0,0.106350757806664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803699887718144,0,0,"AOCS-167-4/SP102151 all"
"77",0,0,0.433607106898257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827323526348598,0,0,0,0,0,0,0,0,0,0.0962534800401667,0,0,0.0710637158529441,0,0,0,0,0,0,0,0,0,0,"AOCS-138-13/SP101881 all"
"88",0,0,0.436338561909433,0,0,0,0,0.198808075314414,0,0,0,0,0,0,0,0.0836839727495501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-146-1/SP101971 all"
"107",0,0,0.447755356827823,0,0,0,0,0.161166149280152,0,0,0,0,0,0,0,0.0724015493811145,0,0,0.095555295301371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707792607509572,0,0,"AOCS-167-13/SP102143 all"
