"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Chicken.cisplatin","Chicken.cyclophosphamide","Chicken.etoposide","C.Elegans.Cisplatin","Sample"
"77",0,0,0.456581719978557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0818280392824482,0,0,0,0,0,0,0,0,0,0.094326701906746,0,0,0.0764084988326571,0,0,"AOCS-138-13/SP101881 all"
"93",0,0,0.46180669750995,0,0,0,0,0.179199604179674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-150-14/SP102015 all"
"123",0,0,0.461958008398431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614772101314576,0,0,0,0,0,0,0,0,0,0.066529423186417,0,0,"AOCS-093-13/SP101638 new"
"50",0,0,0.464470576485449,0,0,0,0,0.205869228623801,0,0,0,0,0,0,0,0.0681348983476827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-107-1/SP101674 all"
"129",0,0,0.471886138075361,0,0,0,0,0.178903087091434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-139-4/SP101906 new"
"128",0,0,0.474986087399081,0,0,0,0,0.128605138447084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11627414799895,0,0,"AOCS-139-17/SP101901 new"
"127",0,0,0.478231598737832,0,0,0,0,0.166594967395964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-139-16/SP101896 new"
"16",0,0,0.480515891586594,0,0,0,0,0.278173180964037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772041098021917,0,0,"AOCS-064-13/SP101554 all"
"109",0,0,0.490037000944138,0,0,0,0,0.189188145028074,0,0,0,0,0,0,0,0,0,0,0.109317808467944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-167-4/SP102151 all"
"107",0,0,0.492324163110626,0,0,0,0,0.183957751529714,0,0,0,0,0,0,0,0.0691876483105948,0,0,0.104649162173583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-167-13/SP102143 all"
"76",0,0,0.493224330622133,0,0,0,0,0.142720682359388,0,0,0,0.062361106502175,0,0,0,0.0773390782630644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-137-13/SP101871 all"
"18",0,0,0.496076556605644,0,0,0,0,0.207611351085394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-065-13/SP101560 all"
"6",0,0,0.499443124031546,0,0,0,0,0.0668180053542693,0,0,0,0,0.101386462681057,0,0,0,0,0,0.0778182814078087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-034-13/SP101524 all"
"81",0,0,0.501647041059945,0,0,0,0,0.22240173011785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-139-4/SP101906 all"
"79",0,0,0.502314392102352,0,0,0,0,0.219722003517048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-139-16/SP101896 all"
"114",0,0,0.508591280433134,0,0,0,0,0.193640189745938,0,0,0,0.0684827434954481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833572353737524,0,0,"AOCS-171-1/SP102187 all"
"117",0,0,0.520286598345875,0,0,0,0,0.0881946547645482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144016322063743,0,0,"AOCS-064-13/SP101554 new"
"121",0,0,0.527788577559964,0,0,0,0,0.0847090902521236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102647835867477,0,0,"AOCS-091-13/SP101624 new"
"34",0,0,0.541762618575039,0,0.0824603149585391,0,0,0.200664155675728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-091-1/SP101622 all"
"124",0,0,0.542221440229583,0,0,0,0,0.166442482924322,0,0,0,0.0938300154579615,0.0614783024694936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-094-2/SP106641 new"
"35",0,0,0.555749465800957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0835956360663637,0,0,"AOCS-091-13/SP101624 all"
"30",0,0,0.563488082848523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911264898168122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-086-13/SP101606 all"
"118",0,0,0.57055581073375,0,0,0,0,0.0804090419882852,0.0815742767187194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-065-13/SP101560 new"
"61",0,0,0.576359291586006,0,0,0,0,0.128824984549595,0,0,0,0.0698935984057456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-120-13/SP101740 all"
"41",0,0,0.587773876118436,0,0,0,0,0.0621857768056619,0.0908484432252747,0,0,0.108974302687528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-094-1/SP101642 all"
"126",0,0,0.611356084627353,0,0,0,0,0,0,0,0,0,0,0,0,0.0932564923380276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644384238561119,0,0,"AOCS-137-13/SP101871 new"
"40",0,0,0.660063336970445,0,0,0,0,0.075953123091335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0950320468956639,0,0,0,0,0,0,0,0,0,"AOCS-093-13/SP101638 all"
"59",0,0.0600440142006192,0.249425800266984,0,0,0,0,0.288931525259806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080098775349853,0,0,"AOCS-117-13/SP101724 all"
"89",0,0.0995982412400514,0.361512052705665,0,0,0,0,0.166125753274146,0,0,0,0,0.119774920620209,0,0,0.0611090177102044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-147-1/SP101981 all"
"42",0.0610862908470301,0,0.553032462604013,0,0,0,0,0.145893859471756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-094-2/SP106641 all"
"80",0.0615741883599495,0,0.528010291802031,0,0,0,0,0.201189429707623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641553409838822,0,0,0,0,0,0,0,0,0,"AOCS-139-17/SP101901 all"
"115",0.063494786663215,0,0.51913981601893,0,0,0,0,0.186197573496461,0,0,0,0.0661338746855009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755357994302602,0,0,"AOCS-171-12/SP102192 all"
"108",0.0646403060701392,0,0.457738162921942,0,0,0,0,0.233901821136407,0,0,0,0,0,0,0,0.0614328742341198,0,0,0.0688292415890116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-167-16/SP102148 all"
